web-scraper-order,web-scraper-start-url,page-links,page-links-href,name,address,key-principal,phone
1633538719-114,https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1,Holcim Ecuador S.A.,https://www.dnb.com/business-directory/company-profiles.holcim_ecuador_sa.27ec041ae71c8f9959b9ce475e7157bb.html,Holcim Ecuador S.A.,"Av. Barcelona s/n y Jose Rodriguez Bonin
                    Edif. El Caiman Piso 2
                    GUAYAQUIL
                        ​, GuayasEcuador
                    See other locations",Andreas Hans Leu Buehrer,-43708407
1633538733-120,https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1,Holcim (Belgique),https://www.dnb.com/business-directory/company-profiles.holcim_(belgique)_.ddc1d1fe31d8cbbf7534bdbddedb972e.html,Holcim (Belgique),"Avenue Robert Schuman 71
                    
                                1401, Nivelles
                    ​, WALLOON BRABANTBelgium
                    See other locations",Bart Daneels,-67876569
1633538728-118,https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1,HOLCIM TRADING PTE. LTD.,https://www.dnb.com/business-directory/company-profiles.holcim_trading_pte_ltd.2a4cb4118e332b7c357ff5b0385649a5.html,HOLCIM TRADING PTE. LTD.,www.lhtrading.comExternal Website. Opens New Window,Celine Da  Costa Coimbra,-62993866
1633538737-121,https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1,Holcim,https://www.dnb.com/business-directory/company-profiles.holcim.0a01be945727273e8931e4781ea12ec7.html,Holcim,"435 rue Jean-Neveu
                    Longueuil
                        ​, QC,
                    
                        J4G 2P9
                Canada",Claude Boyer,(514) 943-3774
1633538815-154,https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1,Holcim Kies und Beton AG,https://www.dnb.com/business-directory/company-profiles.holcim_kies_und_beton_ag.63d327bd4d7dccfa9d73064da1986beb.html,Holcim Kies und Beton AG,"Hagenholzstrasse 83
                    Zürich
                        ​, ZÜRICH,
                    
                        8050
                Switzerland
                    See other locations",Simon Kronenberg,-588506827
1633538769-137,https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1,"Holcim México Operaciones, S.A. de C.V.",https://www.dnb.com/business-directory/company-profiles.holcim_m%C3%A9xico_operaciones_sa_de_cv.5736b259f08c25ae44bb2a9ec1708a77.html,"Holcim México Operaciones, S.A. de C.V.","Av. Prolongación Vasco de Quiroga No. 4800
                    Torre II Oficina 101 Piso 1, Las Tinajas, Cuajimalpa de Morelos
                    México
                        ​, CIUDAD DE MEXICO,
                    
                        05370
                Mexico
                    See other locations",Eduardo Kretschmer,-5557239948
1633538723-116,https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1,HOLCIM (ARGENTINA) S.A.,https://www.dnb.com/business-directory/company-profiles.holcim_(argentina)_sa.61980245ecbe861377163e67fac8c08e.html,HOLCIM (ARGENTINA) S.A.,"Humberto Primo 680
                    Complejo Capitalinas, Edificio Suquía, Piso 4
                    Córdoba
                        ​, CORDOBA,
                    
                        X5000FAN
                Argentina
                    See other locations",Santiago María Ojea Quintana,-3514981746
1633538754-132,https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1,HOLCIM SHIPPING PTE. LTD.,https://www.dnb.com/business-directory/company-profiles.holcim_shipping_pte_ltd.4042c9de64323b8bf3704b71d76e567d.html,HOLCIM SHIPPING PTE. LTD.,"152 Beach Road
                    #25-01/04 Gateway East
                    Singapore
                        ,
                    
                        189721
                Singapore
                    See other locations",Xavier Bernard Blondot,-62993866
1633538832-166,https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1,Holcim AG,https://www.dnb.com/business-directory/company-profiles.holcim_ag.128bedff20207fc5d9f31aa436a8ac81.html,Holcim AG,"Grafenauweg 10
                    Zug
                        ​, ZUG,
                    
                        6300
                Switzerland
                    See other locations",Magali Charlette Mauricette Anderson,-588585817
1633538714-111,https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1,Lafargeholcim Brasil S/A,https://www.dnb.com/business-directory/company-profiles.lafargeholcim_brasil_s-a.2e14c78ca83eb7cdd6e49df275b84ba1.html,Lafargeholcim Brasil S/A,www.lafargeholcim.com.brExternal Website. Opens New Window,Viviane Pampin Rodriguez,-1151808545
1633538764-135,https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1,HOLCIM (US) INC.,https://www.dnb.com/business-directory/company-profiles.holcim_(us)_inc.57f59e3ba324bd421d8a2cd6b8a67aa0.html,HOLCIM (US) INC.,www.lafargeholcim.usExternal Website. Opens New Window,Filiberto Ruiz,(773) 372-1000
1633538807-150,https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1,Holcim Group Services Ltd,https://www.dnb.com/business-directory/company-profiles.holcim_group_services_ltd.5095f94cb5cca649e7f3cbe1e2146014.html,Holcim Group Services Ltd,"Grafenauweg 10
                    Zug
                        ​, ZUG,
                    
                        6300
                Switzerland
                    See other locations",Jan Jenisch,-588585817
1633538812-153,https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1,HOLCIM BETONDRANCE S.A.,https://www.dnb.com/business-directory/company-profiles.holcim_betondrance_sa.fa5c7f6950d3bbf37386ec06ceab46b9.html,HOLCIM BETONDRANCE S.A.,"Les Iles Cédées
                    Martigny
                        ​, VALAIS,
                    
                        1920
                Switzerland
                    See other locations",Stéphane Pilloud,-588500749
1633538820-157,https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1,Holcim International Finance AG,https://www.dnb.com/business-directory/company-profiles.holcim_international_finance_ag.a5151ce7f6d4cdf97a3413a2676a9d68.html,Holcim International Finance AG,"Grafenauweg 10
                    Zug
                        ​, ZUG,
                    
                        6300
                Switzerland
                    See other locations",Eric Carl Olsen,-588588559
1633538787-148,https://www.dnb.com/business-directory/company-search.html?term=holcim&page=1,Holcim Technology Ltd,https://www.dnb.com/business-directory/company-profiles.holcim_technology_ltd.f510e62fa75077d38095ae9c81fa6f6a.html,Holcim Technology Ltd,"Grafenauweg 10
                    Zug
                        ​, ZUG,
                    
                        6300
                Switzerland
                    See other locations",Jan Hofmann,-588585817
